epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,22.6216,1.90168,34.7114,1.35152,0.00058,0.10417,0.00073,0.00025,1.44784,46.364,0.91138,0.00122093,0.000406977,0.00122093,0.000406977,0.00122093,0.000406977,0.00122093,0.000406977
2,43.7783,1.56451,23.608,0.82838,0.75649,0.02083,0.01364,0.00683,1.12531,28.2982,0.62641,0.00243598,0.000811995,0.00243598,0.000811995,0.00243598,0.000811995,0.00243598,0.000811995
3,67.169,1.13119,16.0171,0.48121,0.01423,0.16071,0.01662,0.01029,0.74853,15.479,0.26732,0.00361568,0.00120523,0.00361568,0.00120523,0.00361568,0.00120523,0.00361568,0.00120523
4,91.6074,1.08112,7.87564,0.45786,0.0753,0.03571,0.04966,0.01759,0.72968,6.81678,0.29912,0.00359089,0.00119696,0.00359089,0.00119696,0.00359089,0.00119696,0.00359089,0.00119696
5,116.358,0.91471,3.17506,0.35418,0.0219,0.15043,0.03875,0.0225,0.77743,3.0619,0.30511,0.00353786,0.00117929,0.00353786,0.00117929,0.00353786,0.00117929,0.00353786,0.00117929
6,142.102,0.87329,1.62462,0.32527,0.04275,0.17251,0.04353,0.02903,0.6427,1.78615,0.27693,0.00348482,0.00116161,0.00348482,0.00116161,0.00348482,0.00116161,0.00348482,0.00116161
7,167.25,0.89153,1.30608,0.32148,0.13618,0.10119,0.08237,0.06028,0.61942,1.59082,0.26921,0.00343179,0.00114393,0.00343179,0.00114393,0.00343179,0.00114393,0.00343179,0.00114393
8,192.912,0.83448,1.16572,0.28045,0.10849,0.18317,0.07832,0.05579,0.49625,1.49786,0.1576,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
9,215.918,0.70179,1.16938,0.22419,0.121,0.14908,0.07021,0.04189,0.53584,1.27792,0.15958,0.00332571,0.00110857,0.00332571,0.00110857,0.00332571,0.00110857,0.00332571,0.00110857
10,238.577,0.62924,1.11631,0.16807,0.13274,0.19724,0.11161,0.07075,0.5009,1.15856,0.1739,0.00327268,0.00109089,0.00327268,0.00109089,0.00327268,0.00109089,0.00327268,0.00109089
11,263.616,0.6274,1.06342,0.17418,0.17811,0.29004,0.16879,0.1034,0.47035,1.14449,0.13001,0.00321964,0.00107321,0.00321964,0.00107321,0.00321964,0.00107321,0.00321964,0.00107321
12,290.095,0.60325,1.01427,0.15901,0.20509,0.32089,0.25234,0.14353,0.56088,1.01248,0.17366,0.00316661,0.00105554,0.00316661,0.00105554,0.00316661,0.00105554,0.00316661,0.00105554
13,316.042,0.56948,0.94812,0.14144,0.51149,0.33868,0.29618,0.17836,0.47921,1.00345,0.13713,0.00311357,0.00103786,0.00311357,0.00103786,0.00311357,0.00103786,0.00311357,0.00103786
14,339.026,0.586,0.91378,0.1381,0.57184,0.43975,0.38336,0.2378,0.46082,0.94608,0.13436,0.00306054,0.00102018,0.00306054,0.00102018,0.00306054,0.00102018,0.00306054,0.00102018
15,362.967,0.55928,0.8811,0.13972,0.62138,0.47727,0.42164,0.25696,0.44767,0.94032,0.13024,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
16,387.824,0.53851,0.81269,0.12612,0.54707,0.56196,0.47277,0.25774,0.45321,0.90948,0.13338,0.00295446,0.000984821,0.00295446,0.000984821,0.00295446,0.000984821,0.00295446,0.000984821
17,413.542,0.55268,0.79952,0.13428,0.53244,0.58101,0.49965,0.27661,0.4827,0.83664,0.14012,0.00290143,0.000967143,0.00290143,0.000967143,0.00290143,0.000967143,0.00290143,0.000967143
18,436.849,0.52974,0.77331,0.12825,0.63196,0.59771,0.52815,0.31422,0.46753,0.82144,0.13749,0.00284839,0.000949464,0.00284839,0.000949464,0.00284839,0.000949464,0.00284839,0.000949464
19,461.158,0.49153,0.77986,0.11281,0.6802,0.59965,0.62484,0.37511,0.47475,0.79329,0.13625,0.00279536,0.000931786,0.00279536,0.000931786,0.00279536,0.000931786,0.00279536,0.000931786
20,486.739,0.52205,0.73447,0.11516,0.70854,0.63339,0.66272,0.39298,0.48676,0.75563,0.13989,0.00274232,0.000914107,0.00274232,0.000914107,0.00274232,0.000914107,0.00274232,0.000914107
21,512.782,0.55448,0.70973,0.13216,0.58951,0.70957,0.67094,0.40456,0.47214,0.75075,0.1337,0.00268929,0.000896429,0.00268929,0.000896429,0.00268929,0.000896429,0.00268929,0.000896429
