epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6868,1.74192,43.9275,0.00671,0.09462,0.09834,0.0839,0.06132,1.6882,14.5563,0.00765,0.000405983,0.000405983,0.000405983
2,21.3177,1.62763,13.6425,0.00639,0.11595,0.29983,0.16458,0.0862,1.76864,5.56474,0.00826,0.000814505,0.000814505,0.000814505
3,33.7039,1.72589,6.22665,0.00717,0.24597,0.26195,0.20158,0.10077,1.85865,3.92743,0.009,0.00121478,0.00121478,0.00121478
4,46.2102,1.70331,3.88634,0.00707,0.42841,0.28623,0.31234,0.17511,1.76474,3.00284,0.00849,0.00121287,0.00121287,0.00121287
5,58.7474,1.75829,3.21046,0.00712,0.28814,0.3254,0.28568,0.16031,1.85616,2.38463,0.00907,0.0012005,0.0012005,0.0012005
6,70.259,1.71025,2.63111,0.00736,0.4218,0.36699,0.3635,0.19513,1.89822,2.29816,0.00923,0.00118812,0.00118812,0.00118812
7,82.7029,1.77072,2.27498,0.00681,0.3813,0.42239,0.39179,0.2089,1.89067,2.42964,0.00926,0.00117575,0.00117575,0.00117575
8,95.4154,1.73965,2.1498,0.00724,0.39732,0.4004,0.42133,0.19174,1.89936,2.20861,0.00932,0.00116337,0.00116337,0.00116337
9,106.759,1.71133,1.86395,0.00693,0.51424,0.51743,0.51155,0.26133,1.82124,1.9806,0.00912,0.001151,0.001151,0.001151
10,119.085,1.67195,1.81526,0.00711,0.46459,0.51459,0.46327,0.23803,1.89503,2.02288,0.00959,0.00113863,0.00113863,0.00113863
11,130.555,1.72904,1.84015,0.00715,0.51198,0.43072,0.44212,0.23543,1.85159,2.22253,0.00902,0.00112625,0.00112625,0.00112625
12,141.804,1.72264,1.65918,0.00696,0.44971,0.49028,0.44307,0.25928,1.84168,2.28573,0.00868,0.00111388,0.00111388,0.00111388
13,153.023,1.60663,1.67349,0.00718,0.60314,0.47252,0.527,0.29262,1.80946,1.83657,0.00876,0.0011015,0.0011015,0.0011015
14,165.313,1.69917,1.59451,0.00699,0.57866,0.40723,0.50479,0.24973,1.9128,1.87794,0.00965,0.00108913,0.00108913,0.00108913
15,176.694,1.60461,1.45791,0.00602,0.43227,0.52246,0.46675,0.25008,1.88676,2.31573,0.00911,0.00107675,0.00107675,0.00107675
16,188.135,1.62209,1.49816,0.00648,0.57312,0.40715,0.51234,0.26905,1.8796,1.89388,0.00891,0.00106437,0.00106437,0.00106437
17,199.395,1.57843,1.47531,0.00663,0.47461,0.57481,0.55948,0.3205,1.79376,1.68379,0.00849,0.001052,0.001052,0.001052
18,211.742,1.59098,1.42848,0.006,0.70405,0.36218,0.51114,0.28424,1.7802,1.8091,0.00854,0.00103962,0.00103962,0.00103962
19,223.077,1.61151,1.42968,0.00634,0.49626,0.49592,0.50231,0.29,1.83627,1.98344,0.00848,0.00102725,0.00102725,0.00102725
20,234.527,1.55284,1.37876,0.00667,0.64883,0.52603,0.57693,0.32415,1.75645,1.59449,0.00822,0.00101488,0.00101488,0.00101488
21,246.752,1.57132,1.30906,0.0063,0.56337,0.5019,0.54715,0.31648,1.86484,1.75501,0.00883,0.0010025,0.0010025,0.0010025
22,257.851,1.55753,1.3223,0.00591,0.64394,0.50126,0.58909,0.35489,1.7419,1.74339,0.0083,0.000990125,0.000990125,0.000990125
23,270.082,1.57397,1.35673,0.00602,0.6168,0.54722,0.60482,0.32814,1.8277,1.63088,0.00882,0.00097775,0.00097775,0.00097775
24,281.481,1.55565,1.27558,0.00625,0.64351,0.48621,0.56044,0.35041,1.73511,1.66979,0.00824,0.000965375,0.000965375,0.000965375
25,292.467,1.53427,1.26003,0.00607,0.72798,0.5011,0.55929,0.30781,1.90251,1.75268,0.00938,0.000953,0.000953,0.000953
26,303.675,1.52323,1.25471,0.00602,0.53184,0.62572,0.6175,0.3476,1.83493,1.51565,0.00894,0.000940625,0.000940625,0.000940625
27,314.725,1.46506,1.14488,0.00574,0.62172,0.52765,0.583,0.3546,1.72574,1.82461,0.00814,0.00092825,0.00092825,0.00092825
28,325.849,1.49752,1.29205,0.00575,0.63901,0.4645,0.54128,0.33612,1.76944,1.80317,0.0083,0.000915875,0.000915875,0.000915875
