epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3786,1.82567,26.1668,0.00634,0.12131,0.0709,0.05727,0.04449,1.68688,16.3333,0.00693,0.0002375,0.0002375,0.0002375
2,15.4836,1.62883,11.5117,0.0058,0.28875,0.04911,0.02065,0.00784,1.90886,13.8325,0.00896,0.000480605,0.000480605,0.000480605
3,21.4719,1.66995,5.94749,0.00654,0.2225,0.34749,0.22278,0.12172,1.79564,3.8958,0.00836,0.000716639,0.000716639,0.000716639
4,28.4649,1.64109,3.7062,0.00659,0.30009,0.31378,0.30119,0.16135,1.74118,2.9897,0.00808,0.000945602,0.000945602,0.000945602
5,37.221,1.74139,2.77262,0.00619,0.35854,0.43312,0.35705,0.2005,1.84595,2.34492,0.00877,0.00116749,0.00116749,0.00116749
6,43.6185,1.74446,2.43722,0.00659,0.28165,0.4523,0.3074,0.15649,1.85657,2.37409,0.00908,0.00116161,0.00116161,0.00116161
7,49.343,1.72471,2.14334,0.00586,0.3803,0.44693,0.3515,0.18958,1.91243,2.14377,0.00924,0.00114393,0.00114393,0.00114393
8,55.3022,1.77648,2.02296,0.00675,0.32797,0.3976,0.29876,0.12662,2.11665,2.34375,0.01012,0.00112625,0.00112625,0.00112625
9,61.0716,1.76753,1.89785,0.00675,0.43975,0.4435,0.3752,0.20249,1.79801,2.30078,0.00904,0.00110857,0.00110857,0.00110857
10,67.8776,1.70954,1.72773,0.00613,0.41284,0.38144,0.34374,0.1639,1.9249,2.29282,0.00921,0.00109089,0.00109089,0.00109089
11,74.073,1.71371,1.7234,0.00671,0.36374,0.44637,0.30947,0.16583,1.82552,2.36298,0.0087,0.00107321,0.00107321,0.00107321
12,80.1685,1.67956,1.6901,0.00652,0.38623,0.46461,0.42394,0.25229,1.73297,2.11659,0.00822,0.00105554,0.00105554,0.00105554
13,86.8735,1.66247,1.64109,0.00646,0.56894,0.36266,0.4272,0.2478,1.82363,2.07564,0.00852,0.00103786,0.00103786,0.00103786
14,92.5795,1.64148,1.55001,0.00625,0.56648,0.58875,0.54911,0.28051,1.92186,1.81855,0.00926,0.00102018,0.00102018,0.00102018
15,99.9425,1.64601,1.49431,0.00624,0.52165,0.41282,0.47566,0.23827,1.91265,2.27506,0.00935,0.0010025,0.0010025,0.0010025
16,105.989,1.64615,1.50437,0.00641,0.60631,0.41174,0.46924,0.26264,1.84346,1.83174,0.00883,0.000984821,0.000984821,0.000984821
17,112.215,1.66673,1.44925,0.0069,0.53401,0.4476,0.49121,0.26741,1.84824,1.84116,0.00867,0.000967143,0.000967143,0.000967143
18,118.59,1.72321,1.46761,0.00673,0.51096,0.49539,0.48892,0.28572,1.74154,1.87319,0.00823,0.000949464,0.000949464,0.000949464
19,125.627,1.6372,1.30543,0.00611,0.58223,0.49878,0.50202,0.27518,1.78765,1.8325,0.00829,0.000931786,0.000931786,0.000931786
20,131.652,1.5919,1.27717,0.00627,0.50415,0.63,0.51876,0.27912,1.78437,1.72739,0.00807,0.000914107,0.000914107,0.000914107
21,137.588,1.56304,1.24631,0.00592,0.44565,0.60107,0.55466,0.30151,1.82025,1.79171,0.00851,0.000896429,0.000896429,0.000896429
22,144.204,1.58645,1.23919,0.0063,0.55482,0.59302,0.56947,0.31211,1.83834,1.55193,0.00857,0.00087875,0.00087875,0.00087875
23,151.084,1.52125,1.23147,0.00588,0.52813,0.60602,0.54033,0.30741,1.85053,1.61584,0.00885,0.000861071,0.000861071,0.000861071
24,157.064,1.60463,1.25565,0.00607,0.52272,0.47062,0.49706,0.28699,1.82259,1.82492,0.00898,0.000843393,0.000843393,0.000843393
25,162.945,1.55917,1.15975,0.00588,0.56108,0.49207,0.5129,0.29884,1.80026,1.73113,0.00868,0.000825714,0.000825714,0.000825714
26,168.721,1.54294,1.1744,0.00605,0.60591,0.46199,0.50902,0.29657,1.7543,1.76141,0.00842,0.000808036,0.000808036,0.000808036
27,174.526,1.55547,1.11537,0.00546,0.52594,0.53705,0.52826,0.30825,1.69686,1.90398,0.00798,0.000790357,0.000790357,0.000790357
28,180.592,1.4921,1.17395,0.00601,0.62205,0.49288,0.51809,0.29338,1.73609,1.62243,0.00801,0.000772679,0.000772679,0.000772679
29,186.678,1.52661,1.05974,0.00613,0.50466,0.52266,0.52363,0.31922,1.71755,1.69465,0.0079,0.000755,0.000755,0.000755
30,193.764,1.44316,1.05146,0.00549,0.59812,0.50343,0.49413,0.28393,1.73712,1.64899,0.00797,0.000737321,0.000737321,0.000737321
31,200.019,1.43876,1.00559,0.0057,0.64135,0.56258,0.5225,0.30613,1.7027,1.65782,0.00792,0.000719643,0.000719643,0.000719643
32,206.014,1.46203,0.98525,0.00556,0.52233,0.64058,0.55918,0.33248,1.75697,1.75619,0.00846,0.000701964,0.000701964,0.000701964
33,213.032,1.45659,0.98296,0.00548,0.47154,0.6158,0.55681,0.35066,1.70282,1.64682,0.00814,0.000684286,0.000684286,0.000684286
34,219.613,1.38458,1.00945,0.00507,0.7233,0.48028,0.59184,0.34021,1.80109,2.03116,0.00837,0.000666607,0.000666607,0.000666607
35,225.369,1.451,1.03769,0.00539,0.68405,0.51023,0.6073,0.37569,1.70492,1.77126,0.00782,0.000648929,0.000648929,0.000648929
36,231.75,1.45288,0.99419,0.00503,0.66629,0.56512,0.60582,0.37187,1.74001,1.63576,0.00813,0.00063125,0.00063125,0.00063125
37,237.584,1.39995,0.96973,0.00492,0.50238,0.62845,0.54727,0.33445,1.75377,1.63809,0.0081,0.000613571,0.000613571,0.000613571
38,243.531,1.39983,0.9762,0.00524,0.50986,0.6867,0.55296,0.32742,1.83258,1.53743,0.00854,0.000595893,0.000595893,0.000595893
39,249.277,1.32664,0.89279,0.00502,0.52453,0.66645,0.57089,0.33851,1.72761,1.53482,0.0079,0.000578214,0.000578214,0.000578214
40,255.264,1.35055,0.89367,0.00524,0.50587,0.60914,0.55667,0.35237,1.76695,1.61982,0.00794,0.000560536,0.000560536,0.000560536
41,260.945,1.36455,0.88985,0.00485,0.57299,0.67475,0.57863,0.36111,1.74636,1.47544,0.00791,0.000542857,0.000542857,0.000542857
42,266.783,1.33411,0.88311,0.00457,0.54265,0.61004,0.56607,0.33629,1.68849,1.57544,0.00767,0.000525179,0.000525179,0.000525179
43,272.491,1.38238,0.87297,0.00503,0.51007,0.65531,0.5616,0.33965,1.74583,1.54756,0.00791,0.0005075,0.0005075,0.0005075
44,278.537,1.35626,0.88658,0.00483,0.6442,0.54331,0.57105,0.35214,1.78041,1.46919,0.00835,0.000489821,0.000489821,0.000489821
45,285.153,1.33165,0.80778,0.00447,0.60058,0.58103,0.5668,0.32878,1.81893,1.62307,0.00853,0.000472143,0.000472143,0.000472143
46,291.168,1.34149,0.81426,0.00521,0.58611,0.56537,0.58929,0.37031,1.73543,1.52539,0.00783,0.000454464,0.000454464,0.000454464
47,297.131,1.34753,0.80092,0.00472,0.60002,0.59342,0.5807,0.34904,1.74547,1.60512,0.00824,0.000436786,0.000436786,0.000436786
48,303.073,1.26555,0.81446,0.005,0.64291,0.5628,0.5707,0.34241,1.72989,1.71317,0.00824,0.000419107,0.000419107,0.000419107
49,308.948,1.28706,0.81789,0.00473,0.58622,0.62638,0.57859,0.35529,1.72955,1.64392,0.00805,0.000401429,0.000401429,0.000401429
50,315.151,1.23879,0.72375,0.00451,0.64106,0.54644,0.5916,0.3708,1.70885,1.5931,0.00797,0.00038375,0.00038375,0.00038375
51,321.042,1.25942,0.77721,0.00463,0.55062,0.62882,0.56381,0.33382,1.75896,1.69382,0.00821,0.000366071,0.000366071,0.000366071
52,327.291,1.27334,0.76088,0.0046,0.51233,0.62289,0.59701,0.3704,1.7093,1.70189,0.00792,0.000348393,0.000348393,0.000348393
53,333.249,1.2274,0.70083,0.0043,0.5215,0.6537,0.61568,0.38033,1.72984,1.64961,0.00801,0.000330714,0.000330714,0.000330714
54,340.554,1.20724,0.68834,0.00403,0.54645,0.62691,0.616,0.38783,1.73541,1.57422,0.00794,0.000313036,0.000313036,0.000313036
55,347.09,1.24105,0.69954,0.00423,0.50877,0.68075,0.61413,0.38276,1.75412,1.55349,0.00799,0.000295357,0.000295357,0.000295357
56,352.832,1.20232,0.67193,0.00433,0.5924,0.58768,0.61501,0.39552,1.70178,1.59572,0.00763,0.000277679,0.000277679,0.000277679
57,358.862,1.2076,0.63569,0.00386,0.58777,0.6118,0.61542,0.37944,1.7159,1.5838,0.00782,0.00026,0.00026,0.00026
58,364.384,1.18831,0.64908,0.00432,0.59554,0.62561,0.61468,0.36349,1.72671,1.58978,0.00793,0.000242321,0.000242321,0.000242321
59,370.091,1.18741,0.62731,0.00423,0.57106,0.63855,0.60056,0.37362,1.73811,1.63919,0.00807,0.000224643,0.000224643,0.000224643
60,375.565,1.17195,0.5936,0.00416,0.5963,0.59932,0.59378,0.36213,1.76256,1.72,0.00822,0.000206964,0.000206964,0.000206964
61,382.427,1.17479,0.60381,0.00468,0.58902,0.59924,0.60606,0.37656,1.78335,1.69696,0.00835,0.000189286,0.000189286,0.000189286
62,388.333,1.12246,0.54643,0.00422,0.54498,0.62714,0.61803,0.39699,1.73542,1.74597,0.00805,0.000171607,0.000171607,0.000171607
63,394.607,1.08852,0.53488,0.00414,0.71969,0.51605,0.60818,0.3735,1.72569,1.75098,0.00795,0.000153929,0.000153929,0.000153929
64,400.352,1.14247,0.56668,0.00481,0.53352,0.58683,0.57129,0.35131,1.71856,1.74855,0.0079,0.00013625,0.00013625,0.00013625
65,406.373,1.10416,0.57153,0.00475,0.59745,0.547,0.56093,0.34932,1.70381,1.70293,0.0079,0.000118571,0.000118571,0.000118571
66,412.208,1.06752,0.51702,0.00431,0.5001,0.6676,0.57165,0.35525,1.71373,1.69697,0.00791,0.000100893,0.000100893,0.000100893
67,417.874,1.03537,0.51423,0.00404,0.5128,0.67888,0.5712,0.34375,1.71927,1.70067,0.00789,8.32143e-05,8.32143e-05,8.32143e-05
68,423.715,1.07604,0.5172,0.00424,0.53394,0.63848,0.56437,0.33908,1.6874,1.73357,0.00775,6.55357e-05,6.55357e-05,6.55357e-05
69,429.417,1.09073,0.57619,0.00443,0.51636,0.66573,0.55619,0.33456,1.6899,1.7208,0.00773,4.78571e-05,4.78571e-05,4.78571e-05
70,435.396,1.08636,0.54639,0.00428,0.51621,0.67309,0.5655,0.34106,1.69693,1.71451,0.00778,3.01786e-05,3.01786e-05,3.01786e-05
