epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6961,1.74758,7.74197,0.00593,0.84648,0.125,0.12129,0.06673,1.74567,4.39353,0.00767,0.0002375,0.0002375,0.0002375
2,20.9334,1.63378,4.28162,0.00604,0.51113,0.20798,0.20155,0.09315,1.87075,3.13737,0.0087,0.000480605,0.000480605,0.000480605
3,34.0019,1.71495,2.96127,0.00672,0.22951,0.41418,0.31334,0.17919,1.9193,2.43407,0.00908,0.000716639,0.000716639,0.000716639
4,46.8696,1.7553,2.45623,0.00751,0.31394,0.35347,0.29249,0.14387,1.97081,2.65729,0.00946,0.000945602,0.000945602,0.000945602
5,58.1027,1.86538,2.16908,0.00695,0.39435,0.4106,0.30972,0.12189,2.04917,2.86117,0.00975,0.00116749,0.00116749,0.00116749
6,69.3386,1.86054,1.9236,0.0074,0.27688,0.22873,0.10127,0.03552,nan,nan,nan,0.00116161,0.00116161,0.00116161
7,80.5592,1.89842,1.87801,0.00687,0.47933,0.47132,0.33845,0.15823,2.24564,2.30751,0.01092,0.00114393,0.00114393,0.00114393
8,91.7183,1.90004,1.94378,0.00747,0.51788,0.45056,0.42779,0.20924,1.91594,2.24894,0.00904,0.00112625,0.00112625,0.00112625
9,104.716,1.72821,1.78266,0.0066,0.4054,0.42257,0.34368,0.19203,1.94339,2.53846,0.00952,0.00110857,0.00110857,0.00110857
10,115.49,1.74791,1.64175,0.00655,0.50481,0.46683,0.44764,0.20302,2.05507,2.49316,0.0095,0.00109089,0.00109089,0.00109089
11,126.624,1.73831,1.77031,0.00679,0.48502,0.46329,0.42473,0.23405,1.93347,2.11244,0.00931,0.00107321,0.00107321,0.00107321
12,139.595,1.79507,1.58058,0.00708,0.42191,0.50215,0.41313,0.20167,1.91571,2.3208,0.00887,0.00105554,0.00105554,0.00105554
13,150.905,1.75096,1.61717,0.00678,0.47367,0.4856,0.45755,0.26316,1.89278,2.1589,0.00892,0.00103786,0.00103786,0.00103786
14,164.342,1.75004,1.47572,0.00676,0.38797,0.52746,0.42183,0.21388,2.0568,2.21203,0.01024,0.00102018,0.00102018,0.00102018
15,175.781,1.74923,1.47129,0.0068,0.57467,0.41453,0.49683,0.23899,2.06348,2.12611,0.0097,0.0010025,0.0010025,0.0010025
16,187.21,1.78167,1.45141,0.00715,0.41962,0.57264,0.51474,0.27986,1.82703,1.96257,0.00884,0.000984821,0.000984821,0.000984821
17,201.09,1.73313,1.36029,0.00714,0.55622,0.4582,0.50997,0.25041,2.03005,2.00387,0.00965,0.000967143,0.000967143,0.000967143
18,213.031,1.77458,1.30458,0.00711,0.54696,0.61204,0.56889,0.29908,1.82286,1.8323,0.0089,0.000949464,0.000949464,0.000949464
19,226.314,1.74641,1.26367,0.00666,0.60641,0.50117,0.5394,0.30027,1.84525,1.60784,0.00884,0.000931786,0.000931786,0.000931786
20,239.174,1.67558,1.241,0.00667,0.68993,0.46422,0.57199,0.31872,1.89579,1.72808,0.00868,0.000914107,0.000914107,0.000914107
21,253.317,1.60322,1.15614,0.00623,0.5297,0.54808,0.60166,0.32479,1.90993,1.62903,0.00904,0.000896429,0.000896429,0.000896429
22,267.263,1.62656,1.22342,0.00653,0.45703,0.63725,0.51882,0.27534,1.84982,1.68078,0.00886,0.00087875,0.00087875,0.00087875
23,278.769,1.66619,1.20635,0.00663,0.53996,0.41058,0.45543,0.25359,1.99644,2.29978,0.00956,0.000861071,0.000861071,0.000861071
24,290.082,1.67683,1.17878,0.00657,0.44344,0.511,0.49887,0.28923,1.90347,2.2698,0.00948,0.000843393,0.000843393,0.000843393
25,301.516,1.64604,1.1266,0.00626,0.54983,0.60317,0.57046,0.29779,1.87292,1.58914,0.00881,0.000825714,0.000825714,0.000825714
26,312.91,1.60278,1.09818,0.00631,0.60438,0.52542,0.5381,0.28295,1.84792,1.7101,0.00876,0.000808036,0.000808036,0.000808036
27,324.144,1.55486,1.07418,0.00553,0.54461,0.55882,0.5506,0.32534,1.89284,1.87563,0.00907,0.000790357,0.000790357,0.000790357
28,337.267,1.60262,1.10266,0.00665,0.61892,0.53649,0.5271,0.27943,1.79329,1.89328,0.00861,0.000772679,0.000772679,0.000772679
29,347.765,1.54823,1.01112,0.00616,0.62497,0.57208,0.57001,0.29818,1.90433,1.74245,0.00871,0.000755,0.000755,0.000755
30,358.875,1.51861,0.98516,0.00599,0.59416,0.59751,0.56948,0.33866,1.76647,1.58652,0.0081,0.000737321,0.000737321,0.000737321
31,372.888,1.4563,1.00022,0.00598,0.49449,0.56234,0.51335,0.29201,1.83158,1.63621,0.00851,0.000719643,0.000719643,0.000719643
32,384.24,1.47514,0.93675,0.00567,0.61496,0.5545,0.57387,0.34223,1.76978,1.79846,0.0082,0.000701964,0.000701964,0.000701964
33,397.507,1.49881,0.92285,0.00562,0.60135,0.64206,0.62525,0.38635,1.71385,1.57152,0.00795,0.000684286,0.000684286,0.000684286
34,411.679,1.4281,0.93055,0.00532,0.60928,0.56669,0.58323,0.33575,1.77052,1.68276,0.00849,0.000666607,0.000666607,0.000666607
35,423.464,1.42249,0.86797,0.00536,0.67876,0.57241,0.56945,0.32963,1.73078,1.84666,0.00791,0.000648929,0.000648929,0.000648929
36,434.698,1.44277,0.91208,0.00505,0.65129,0.59421,0.64038,0.38348,1.69301,1.63919,0.00774,0.00063125,0.00063125,0.00063125
37,446.28,1.4468,0.90145,0.00526,0.70444,0.51522,0.64616,0.39082,1.73278,1.51187,0.00793,0.000613571,0.000613571,0.000613571
38,459.696,1.4289,0.89522,0.00556,0.62725,0.6002,0.62095,0.37648,1.79684,1.39578,0.00833,0.000595893,0.000595893,0.000595893
39,471.052,1.37465,0.84277,0.00539,0.59523,0.67691,0.65333,0.37631,1.68946,1.44416,0.00781,0.000578214,0.000578214,0.000578214
40,482.726,1.36296,0.8555,0.00539,0.65527,0.59146,0.62037,0.37882,1.71119,1.73915,0.00769,0.000560536,0.000560536,0.000560536
41,494.148,1.36646,0.80649,0.00504,0.60354,0.68689,0.67023,0.407,1.64715,1.55438,0.00761,0.000542857,0.000542857,0.000542857
42,507.675,1.34903,0.79333,0.00475,0.72488,0.59886,0.65953,0.38283,1.78903,1.53981,0.00854,0.000525179,0.000525179,0.000525179
43,519.206,1.34578,0.79344,0.00501,0.55162,0.63173,0.62888,0.3819,1.7813,1.81363,0.00837,0.0005075,0.0005075,0.0005075
44,530.978,1.37902,0.77582,0.0049,0.63131,0.63869,0.63254,0.36589,1.80251,1.62052,0.00848,0.000489821,0.000489821,0.000489821
45,541.985,1.33799,0.74012,0.0045,0.6015,0.61803,0.61743,0.38055,1.71816,1.53114,0.00807,0.000472143,0.000472143,0.000472143
46,552.992,1.28897,0.74771,0.00522,0.61289,0.6524,0.666,0.39265,1.74225,1.53396,0.00817,0.000454464,0.000454464,0.000454464
47,564.474,1.31007,0.73525,0.00469,0.60241,0.69224,0.64691,0.39775,1.7028,1.55129,0.00814,0.000436786,0.000436786,0.000436786
48,575.829,1.24539,0.74099,0.0049,0.65565,0.60068,0.6384,0.37615,1.69441,1.63647,0.00813,0.000419107,0.000419107,0.000419107
49,587.605,1.27713,0.73364,0.0047,0.67744,0.67612,0.67432,0.40468,1.66098,1.58091,0.00784,0.000401429,0.000401429,0.000401429
50,599.142,1.25932,0.66686,0.00455,0.68605,0.65706,0.67418,0.40759,1.64177,1.55906,0.00769,0.00038375,0.00038375,0.00038375
51,611.451,1.2703,0.68798,0.00471,0.71073,0.61086,0.65621,0.38195,1.65131,1.55469,0.00743,0.000366071,0.000366071,0.000366071
52,622.815,1.27182,0.67958,0.00451,0.71604,0.58803,0.65773,0.38738,1.71501,1.57395,0.00796,0.000348393,0.000348393,0.000348393
53,633.596,1.2156,0.60515,0.00428,0.71685,0.60962,0.65668,0.39463,1.73203,1.55673,0.00801,0.000330714,0.000330714,0.000330714
