epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.52472,1.68057,4.73418,1.29592,0.00097,0.30357,0.00436,0.00329,1.46509,4.08181,1.22241,0.0007875,0.0002625,0.0007875,0.0002625,0.0007875,0.0002625,0.0007875,0.0002625
2,7.62096,1.64853,4.66573,1.2571,0.00102,0.30655,0.01784,0.01421,1.45345,4.06912,1.18899,0.00159654,0.000532179,0.00159654,0.000532179,0.00159654,0.000532179,0.00159654,0.000532179
3,11.1674,1.68323,4.56583,1.20685,0.00134,0.40179,0.08289,0.0636,1.35393,3.96441,1.1,0.00238924,0.000796412,0.00238924,0.000796412,0.00238924,0.000796412,0.00238924,0.000796412
4,14.5778,1.59076,4.25586,1.14858,0.00187,0.55817,0.11873,0.07629,1.36602,3.7842,1.04113,0.0031656,0.0010552,0.0031656,0.0010552,0.0031656,0.0010552,0.0031656,0.0010552
5,17.8208,1.61506,3.88371,1.14626,0.41486,0.07386,0.24041,0.1245,1.34217,3.24524,1.02752,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005,0.0036015,0.0012005
6,21.0002,1.65102,3.56701,1.15835,0.21932,0.35633,0.23702,0.12611,1.40389,2.79812,1.05996,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812,0.00356437,0.00118812
7,24.162,1.59743,3.16586,1.14859,0.20258,0.53111,0.25725,0.14136,1.44761,2.71277,1.05769,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
8,27.4658,1.55466,2.98704,1.13262,0.41147,0.45092,0.38824,0.22785,1.4762,2.52066,1.06807,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337,0.00349012,0.00116337
9,30.7138,1.51849,2.84744,1.13622,0.42424,0.49798,0.45178,0.2647,1.44006,2.43635,1.07329,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
10,34.0444,1.54428,2.78148,1.1394,0.42296,0.48467,0.51364,0.2966,1.43954,2.26509,1.08402,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863,0.00341588,0.00113863
11,37.3419,1.53344,2.73317,1.15028,0.39188,0.60498,0.50084,0.27892,1.44825,2.22109,1.08982,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
12,40.4841,1.53253,2.71027,1.14777,0.46821,0.5475,0.52826,0.26915,1.46138,2.18184,1.08427,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388,0.00334162,0.00111388
13,43.5442,1.46713,2.46399,1.10429,0.58314,0.51259,0.57451,0.31919,1.44468,2.09961,1.06856,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
14,47.0232,1.50399,2.47722,1.11974,0.5909,0.50685,0.59414,0.33365,1.47917,2.1255,1.07946,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913,0.00326737,0.00108913
15,50.4491,1.46579,2.48987,1.10935,0.73374,0.45519,0.62573,0.35799,1.42804,1.98634,1.05839,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
16,53.9086,1.46922,2.45383,1.09961,0.603,0.543,0.60174,0.3429,1.43335,2.00212,1.04214,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437,0.00319313,0.00106437
17,57.0292,1.41779,2.30084,1.06234,0.78051,0.44827,0.61432,0.36282,1.41207,1.96299,1.05558,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
18,60.3709,1.45896,2.29399,1.11955,0.6928,0.60525,0.69987,0.39419,1.43127,1.92384,1.05377,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962,0.00311887,0.00103962
19,63.5448,1.43508,2.08574,1.09345,0.74586,0.62348,0.71862,0.4131,1.39448,1.89917,1.05247,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
20,66.6927,1.37154,2.13322,1.06749,0.65422,0.65544,0.72561,0.40472,1.39476,1.88233,1.0503,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488,0.00304463,0.00101488
21,69.6764,1.40393,2.0831,1.06849,0.54331,0.71327,0.70217,0.40648,1.3742,1.8963,1.0336,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
22,72.7138,1.44823,2.23385,1.08703,0.62221,0.62951,0.6738,0.39467,1.35098,1.91657,1.04476,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125,0.00297037,0.000990125
23,75.7293,1.39071,2.00276,1.07714,0.62031,0.61066,0.68046,0.39829,1.37048,1.88492,1.04229,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
24,78.8153,1.41429,2.02082,1.08686,0.76244,0.64098,0.72459,0.41901,1.38366,1.73188,1.04186,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375,0.00289612,0.000965375
25,82.1748,1.36413,1.99847,1.07544,0.7902,0.61605,0.70352,0.41436,1.37202,1.74388,1.03941,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
26,85.1787,1.33422,1.90539,1.06007,0.76508,0.73508,0.74356,0.44601,1.37429,1.6402,1.05338,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625,0.00282187,0.000940625
27,88.4049,1.34392,1.93272,1.03978,0.80771,0.6865,0.74553,0.41995,1.3749,1.70755,1.06174,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
28,91.4237,1.33592,1.86071,1.04934,0.74917,0.65936,0.74952,0.43205,1.38629,1.73906,1.05465,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875,0.00274763,0.000915875
29,94.3209,1.3375,1.81685,1.05599,0.73998,0.64101,0.72801,0.44006,1.36501,1.7466,1.04702,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
30,97.4197,1.29525,1.76052,1.03381,0.84774,0.67382,0.75971,0.43828,1.39581,1.72771,1.05733,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125,0.00267337,0.000891125
31,100.314,1.31489,1.77808,1.0397,0.77847,0.67252,0.76369,0.43769,1.3689,1.66178,1.05743,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
32,103.375,1.29771,1.77945,1.04371,0.77357,0.69724,0.76105,0.43846,1.37674,1.60568,1.05966,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375,0.00259912,0.000866375
33,106.373,1.3027,1.76132,1.03508,0.73916,0.63721,0.76044,0.45899,1.36125,1.59748,1.05201,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
34,109.83,1.29331,1.74685,1.03187,0.7994,0.65131,0.76675,0.43961,1.36622,1.62888,1.06136,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625,0.00252487,0.000841625
35,112.807,1.28591,1.63871,1.02865,0.73057,0.67766,0.74228,0.40488,1.42712,1.62949,1.0746,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
36,115.762,1.29826,1.67242,1.03567,0.70334,0.68148,0.74158,0.42873,1.38468,1.70636,1.06859,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875,0.00245062,0.000816875
37,118.725,1.25261,1.62838,1.01861,0.81996,0.6085,0.72572,0.43051,1.37002,1.66628,1.06872,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
38,121.728,1.29162,1.64002,1.02298,0.71383,0.6726,0.76491,0.45358,1.34994,1.57238,1.05107,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125,0.00237638,0.000792125
39,124.823,1.27473,1.5916,1.03028,0.65399,0.73697,0.73077,0.44663,1.35198,1.57684,1.05126,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
40,127.943,1.21496,1.54514,1.00607,0.68745,0.64774,0.72778,0.47232,1.35364,1.57766,1.05498,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375,0.00230212,0.000767375
41,131.366,1.23694,1.56236,1.00646,0.75925,0.60795,0.74023,0.4652,1.35821,1.52514,1.06699,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
42,134.508,1.23117,1.50938,1.01467,0.68471,0.70323,0.73931,0.46002,1.38218,1.5223,1.05076,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625,0.00222788,0.000742625
43,137.468,1.23181,1.53069,1.01753,0.66023,0.75627,0.73689,0.47705,1.33118,1.56445,1.04757,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
44,140.733,1.22825,1.57693,1.01369,0.63515,0.69206,0.70818,0.43814,1.38286,1.65602,1.06985,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875,0.00215363,0.000717875
45,143.709,1.23838,1.55474,1.01904,0.61872,0.68562,0.70439,0.42829,1.3663,1.57836,1.06011,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
46,146.751,1.23291,1.49387,1.01263,0.68645,0.67476,0.74153,0.46412,1.39471,1.5483,1.06317,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125,0.00207938,0.000693125
